Title,China Runtime,Converted,China Release Date,Budget,Genres,Original Language,Production Company,Global Release Date,Revenue,Global Runtime,Difference
The Last Time I Saw Paris,01:55:45,115,,0,Romance ;Drama ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,01/01/54,105,116,-1
The Naked Jungle,01:31:31,91,,0,Action ;Adventure ;Drama ;Romance ;,en,Paramount Pictures ;,03/03/54,0,95,-4
Casanova's Big Night,01:22:13,82,,0,Comedy ; Adventure,en,Paramount Pictures,04/07/54,0,86,-4
River of No Return,01:30:52,90,,0,Adventure ;Western ;,en,Twentieth Century Fox Film Corporation ;,04/30/54,0,91,-1
The Country Girl,01:39:52,99,,0,Music ;Drama ;,en,Paramount Pictures ;,05/17/54,0,104,-5
Johnny Guitar,01:45:31,105,,0,Drama ;Western ;,en,Republic Pictures ;,05/26/54,0,110,-5
Them!,01:28:43,88,,23000000,Science ;Fiction ;Mystery ;Horror ;,en,Warner Bros ;,06/16/54,0,94,-6
On the Waterfront,01:43:06,103,,910000,Crime ;Drama ;,en,Columbia Pictures ;Horizon Pictures ;,06/22/54,9600000,108,-5
The High and the Mighty,02:21:18,141,,0,Action ;Adventure ;Drama ;Thriller ;,en,Wayne ;Fellows Productions ;Warner Bros ;,07/03/54,0,147,-6
Rear Window,01:52:30,112,,1000000,Drama ;Mystery ; Thriller,en,Paramount Pictures,08/01/54,36764313,112,0
A Star Is Born,02:54:54,174,,5019770,Drama ;Music ;Romance ;,en,Transcona Enterprises; Warner Bros;,09/29/54,0,181,-7
Young at Heart,01:52:32,112,,0,Drama ;Music ;Romance ;,en,Arwin Productions ;,12/01/54,0,117,-5
The Bridges at Toko-Ri,01:39:04,99,,0,Action ;Drama ;War ;Romance ;,en,,12/01/54,0,102,-3
We're No Angels,01:45:34,105,,0,Romance ;Comedy ;Crime ;,en,Paramount Pictures ;,01/01/55,0,106,-1
Battle Cry,02:28:25,148,,0,Drama ;Romance ;War ;,en,Warner Bros ;,02/02/55,0,149,-1
East of Eden,01:54:44,114,,1,Drama ;,en,Warner Bros ;,03/09/55,5,115,-1
Run for Cover,01:28:36,88,,0,Action ;Western ;,en,Paramount Pictures ;Pine ;Thomas Productions ;,04/29/55,0,93,-5
Kiss Me Deadly,01:45:44,105,,0,Drama ;Mystery ;Thriller ;,en,Parklane Pictures Inc ;,05/18/55,0,106,-1
The Far Horizons,01:43:28,103,,0,Action ;History ;Western ;Romance ;,en,Pine Thomas Productions ;,05/20/55,0,108,-5
The Seven Year Itch,01:44:24,104,6/3/55,1800000,Comedy ;Drama ;Romance ;,en,Twentieth Century Fox Film Corporation ;Charles K ;Feldman Group ;,06/01/55,0,105,-1
Strategic Air Command,01:49:11,109,,0,Action ;Drama ;,en,Paramount Pictures ;,07/12/55,0,112,-3
To Catch a Thief,01:42:07,102,,2500000,Crime ;Drama ;Mystery ;Romance ;Thriller ;,en,Paramount Pictures ;,08/03/55,8750000,106,-4
The Desperate Hours,01:47:56,107,,0,Crime ;Drama ;Thriller ;Action ;,en,Paramount Pictures ;,10/05/55,0,112,-5
Rebel Without a Cause,01:46:22,106,,1500000,Drama ;,en,Warner Bros ;,10/27/55,0,111,-5
Guys and Dolls,02:29:29,149,,5500000,Comedy ;Music ;Romance ;,en,Samuel Goldwyn Company ;The ;,11/03/55,0,150,-1
Artists and Models,01:44:36,104,,1500000,Comedy ;,en,Paramount Pictures ;,11/07/55,0,109,-5
The Court Jester,01:37:04,97,,4000000,Action ;Adventure ;Comedy ;Family ;,en,Paramount Pictures ;Dena Enterprises ;,12/24/55,0,101,-4
Invasion of the Body Snatchers,01:16:59,76,,417000,Horror ;Science Fiction,en,Allied Artists Pictures; Walter Wanger Productions,02/05/56,0,80,-4
Forbidden Planet,01:38:23,98,,1900000,Adventure ;Science ;Fiction ;Action ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,03/15/56,3250000,98,0
The Killing,01:24:39,84,,320000,Drama ;Action ;Thriller ;Crime ;,en,United Artists ;Harris ;Kubrick Productions ;,05/08/56,0,85,-1
The Harder They Fall,01:48:43,108,,0,Drama ;,en,Columbia Pictures Corporation ;,05/09/56,0,109,-1
The Man Who Knew Too Much,01:59:07,119,6/1/56,2500000,Adventure ;Crime ;Drama ;Mystery ;Thriller ;,en,Paramount Pictures ;,06/01/56,10250000,120,-1
Moby Dick,01:54:54,114,,4500000,Adventure ;Drama ;,en,Warner Bros ;Moulin Productions Inc ;,06/27/56,10400000,116,-2
Seven Men from Now,01:14:48,74,,0,Action ;Adventure ;Drama ;Western ;,en,Batjac Productions ;,08/04/56,0,78,-4
Bus Stop,01:34:23,94,,0,Drama ;Romance ;Comedy ;,en,Twentieth Century Fox Film Corporation ;Marilyn Monroe Productions ;,08/31/56,0,96,-2
Around the World in Eighty Days,02:43:25,163,10/17/56,6000000,Adventure ;Comedy ;Family ;Fantasy ;Romance ;,en,Michael Todd Company ;,10/17/56,42000000,167,-4
The Rainmaker,01:56:26,116,,0,Comedy ;Romance ;Western ;,en,,12/13/56,0,121,-5
Funny Face,01:43:19,103,,0,Music ;Comedy ;Romance ;,en,Paramount Pictures ;,02/13/57,0,103,0
Fear Strikes Out,01:36:12,96,,0,Drama ;,en,Paramount Pictures ;,03/20/57,0,100,-4
Designing Woman,01:57:40,117,,0,Comedy ;Romance ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,05/16/57,0,118,-1
The Delicate Delinquent,01:36:49,96,,0,Comedy ;,en,Paramount Pictures ;York Pictures Corporation ;,06/06/57,0,101,-5
The Prince and the Showgirl,01:56:44,116,,0,Comedy ;Drama ;Romance ;,en,Warner Bros ;,06/13/57,0,115,1
Paths of Glory,01:28:21,88,,935000,Drama ;War ;,en,United Artists ;Bryna Productions ;,09/18/57,0,88,0
The Bridge on the River Kwai,02:41:28,161,,3000000,Drama ;History ;War ;,en,Columbia Pictures Corporation ;Horizon Pictures  ;II ;,10/02/57,27200000,161,0
The Black Orchid,01:30:20,90,,0,Romance ;,en,,02/11/58,0,94,-4
Cat on a Hot Tin Roof,01:48:04,108,,3000000,Drama ;Romance ;,en,Avon Production ;Metro ;Goldwyn ;Mayer  ;MGM ;,02/17/58,17570324,108,0
Teacher's Pet,01:55:07,115,,0,Comedy; Romance,en,Perlsea Company,04/01/58,0,120,-5
"The Long, Hot Summer",01:56:44,116,,0,Drama ;Romance ;,en,Twentieth Century Fox Film Corporation ;Jerry Wald Productions ;,04/03/58,0,115,1
Vertigo,02:08:47,128,,2479000,Mystery ;Romance ;Thriller ;,en,Paramount Pictures ;Alfred J ;Hitchcock Productions ;,05/09/58,28000000,128,0
The Matchmaker,01:36:45,96,,0,Comedy ;Romance ;,en,Don Hartman Productions ;,08/12/58,0,103,-7
The Geisha Boy,01:33:39,93,,0,Comedy ;,en,Paramount Pictures ;,11/02/58,0,98,-5
Houseboat,01:45:09,105,,0,Comedy ;Drama ;Family ;Romance ;,en,Paramount Pictures ;,11/19/58,0,110,-5
The Five Pennies,01:52:31,112,,0,Drama ;Music ;,en,,01/01/59,0,117,-5
Sleeping Beauty,01:12:01,72,,6000000,Fantasy; Animation; Romance; Family,en,Walt Disney Productions,01/28/59,51000000,75,-3
The Trap,01:20:26,80,,0,Crime ;,en,,01/28/59,0,84,-4
North by Northwest,02:16:25,136,,4000000,Mystery ;Thriller ;,en,Metro ;Goldwyn ;Mayer  ;MGM ;,07/07/59,13275000,136,0
Ben-Hur,03:31:40,211,,15000000,Action; Adventure ; Drama ;History,en,Metro-Goldwyn-Mayer (MGM),12/26/59,146900000,212,-1
Heller in Pink Tights,01:36:25,96,,0,Action ;Adventure ;Romance ;Western ;,en,Paramount Pictures ;,03/01/60,0,100,-4
The Bellboy,01:08:53,68,,900000,Comedy ;,en,Paramount Pictures ;Jerry Lewis Productions ;,07/20/60,10000000,72,-4
It Started in Naples,01:35:59,95,,0,Comedy ;Romance ;,en,Paramount Pictures ;Capri Productions ;,08/06/60,0,100,-5
G.I. Blues,01:39:36,99,,0,Comedy ;Music ;,en,Paramount Pictures ;Hal Wallis Productions ;,11/23/60,0,104,-5
